Task_ID,Employee_ID,Project_ID,Task,Time_Taken_Hours,Completion_Date,Name,Team,Role,Project_Name,Client
789,28,2,Database Optimization,4,2025-03-05,Sherry Velazquez,Design,Graphic Designer,Revold World,Martinez-James
790,31,4,Meeting,3,2025-02-11,James Schroeder,Dev,Backend Developer,SRMG,Conley and Sons
791,79,1,Code Review,4,2025-02-27,Mark Taylor,QA,QA Engineer,Sopheon,"Griffith, Williams and Thornton"
792,154,5,Bug Fixing,3,2025-01-03,Charles Warren,Dev,Frontend Developer,NBC,"Mcclure, Howard and Patterson"
793,60,4,Performance Testing,12,2025-02-19,Abigail Johnson,Design,UI Designer,SRMG,Conley and Sons
794,189,3,Code Review,1,2025-03-28,Elizabeth Boyle,QA,Automation Engineer,Planted,Clark and Sons
795,162,1,UI Enhancement,4,2025-02-16,Mr. Ethan Doyle,Data,ML Engineer,Sopheon,"Griffith, Williams and Thornton"
796,19,1,Feature Development,6,2025-02-07,Carla Clark,Data,Data Analyst,Sopheon,"Griffith, Williams and Thornton"
797,155,1,Testing,9,2025-02-23,Ryan Rogers,Design,Graphic Designer,Sopheon,"Griffith, Williams and Thornton"
798,86,1,Feature Development,10,2025-02-13,Phillip Wright,Management,Product Owner,Sopheon,"Griffith, Williams and Thornton"
799,27,3,Feature Development,8,2025-02-01,Sara Young,Data,Data Engineer,Planted,Clark and Sons
800,91,5,Database Optimization,4,2025-02-03,Tina Garcia,Dev,Software Engineer,NBC,"Mcclure, Howard and Patterson"
801,184,1,Bug Fixing,7,2025-03-18,Sandra Williams,Admin,System Admin,Sopheon,"Griffith, Williams and Thornton"
802,64,3,Database Optimization,6,2025-01-09,Steven White,Data,Data Analyst,Planted,Clark and Sons
803,108,2,Feature Development,6,2025-03-07,Susan Joseph,Admin,Office Manager,Revold World,Martinez-James
804,176,4,Testing,1,2025-01-15,Karen Chandler DDS,Data,Data Engineer,SRMG,Conley and Sons
805,109,1,Feature Development,6,2025-03-04,Laura Ray,QA,Automation Engineer,Sopheon,"Griffith, Williams and Thornton"
806,139,1,Performance Testing,5,2025-03-04,Benjamin Torres,QA,Test Analyst,Sopheon,"Griffith, Williams and Thornton"
807,150,1,Performance Testing,2,2025-02-05,Timothy Hernandez,Dev,Backend Developer,Sopheon,"Griffith, Williams and Thornton"
808,32,2,Code Review,1,2025-02-13,Kurt Miller,Dev,Frontend Developer,Revold World,Martinez-James
809,192,4,Bug Fixing,6,2025-03-05,Justin Obrien,Management,Scrum Master,SRMG,Conley and Sons
810,99,2,Design Review,9,2025-02-09,David Cohen,Design,UX Designer,Revold World,Martinez-James
811,108,2,Design Review,10,2025-01-20,Susan Joseph,Admin,Office Manager,Revold World,Martinez-James
812,9,1,UI Enhancement,5,2025-03-07,Thomas Hartman,Management,Scrum Master,Sopheon,"Griffith, Williams and Thornton"
813,36,5,Bug Fixing,2,2025-02-16,Wesley Anderson,Design,UI Designer,NBC,"Mcclure, Howard and Patterson"
814,72,1,Performance Testing,6,2025-01-15,Cynthia Johnson,Admin,HR,Sopheon,"Griffith, Williams and Thornton"
815,3,2,Security Patching,1,2025-03-16,Leslie Kemp,Dev,Frontend Developer,Revold World,Martinez-James
816,148,2,Code Review,8,2025-01-28,Michael Perkins,Management,Project Manager,Revold World,Martinez-James
817,105,2,Meeting,5,2025-02-25,Kimberly Martin,Dev,Software Engineer,Revold World,Martinez-James
818,127,5,Performance Testing,1,2025-03-04,Sarah Cole,Admin,System Admin,NBC,"Mcclure, Howard and Patterson"
819,184,1,Security Patching,7,2025-03-11,Sandra Williams,Admin,System Admin,Sopheon,"Griffith, Williams and Thornton"
820,3,5,Testing,2,2025-01-12,Leslie Kemp,Dev,Frontend Developer,NBC,"Mcclure, Howard and Patterson"
821,24,4,Meeting,12,2025-02-25,Michael Garcia,Design,Graphic Designer,SRMG,Conley and Sons
822,115,5,UI Enhancement,6,2025-02-07,Matthew Thomas PhD,Admin,Office Manager,NBC,"Mcclure, Howard and Patterson"
823,149,1,Bug Fixing,12,2025-02-12,Robert Murray,Design,Graphic Designer,Sopheon,"Griffith, Williams and Thornton"
824,120,4,UI Enhancement,11,2025-01-06,Kimberly Yang,Management,Scrum Master,SRMG,Conley and Sons
825,126,2,Code Review,6,2025-01-23,Michael Mathews,Dev,Frontend Developer,Revold World,Martinez-James
826,166,2,Meeting,9,2025-02-10,Marissa Pope,Management,Project Manager,Revold World,Martinez-James
827,57,4,Meeting,5,2025-01-22,Eric Smith,Design,UI Designer,SRMG,Conley and Sons
828,197,3,Database Optimization,4,2025-03-24,Thomas Morris,Dev,Software Engineer,Planted,Clark and Sons
829,183,5,Feature Development,10,2025-01-16,Amy Nelson,QA,Test Analyst,NBC,"Mcclure, Howard and Patterson"
830,15,1,Performance Testing,2,2025-03-07,Lisa Cabrera,QA,Automation Engineer,Sopheon,"Griffith, Williams and Thornton"
831,152,1,Meeting,8,2025-02-26,Jennifer Stevens,Admin,HR,Sopheon,"Griffith, Williams and Thornton"
832,29,3,Security Patching,1,2025-03-07,Brianna Richards,Data,Data Analyst,Planted,Clark and Sons
833,69,4,Testing,11,2025-02-10,Jeremiah Mclaughlin,Management,Project Manager,SRMG,Conley and Sons
834,9,2,Code Review,7,2025-01-16,Thomas Hartman,Management,Scrum Master,Revold World,Martinez-James
835,181,4,Bug Fixing,5,2025-01-09,Amanda Santana,Dev,Software Engineer,SRMG,Conley and Sons
836,29,4,Meeting,1,2025-01-24,Brianna Richards,Data,Data Analyst,SRMG,Conley and Sons
837,177,5,Security Patching,9,2025-01-18,Shawn Frazier,Management,Product Owner,NBC,"Mcclure, Howard and Patterson"
838,12,4,Performance Testing,2,2025-03-19,Samantha Collins,Dev,Backend Developer,SRMG,Conley and Sons
839,74,1,Performance Testing,11,2025-02-26,Miranda Schmidt,QA,Test Analyst,Sopheon,"Griffith, Williams and Thornton"
840,53,1,Database Optimization,4,2025-02-28,Michael Dixon,Data,Data Analyst,Sopheon,"Griffith, Williams and Thornton"
841,74,5,Bug Fixing,9,2025-01-09,Miranda Schmidt,QA,Test Analyst,NBC,"Mcclure, Howard and Patterson"
842,196,2,Security Patching,6,2025-03-20,David Ryan,QA,Automation Engineer,Revold World,Martinez-James
843,68,3,UI Enhancement,9,2025-01-05,Stephanie Mcclure MD,Design,UI Designer,Planted,Clark and Sons
844,98,2,Design Review,5,2025-03-19,Debra Garner,Data,ML Engineer,Revold World,Martinez-James
845,175,3,Bug Fixing,9,2025-02-25,Michael Gill,Management,Scrum Master,Planted,Clark and Sons
846,72,2,Database Optimization,7,2025-02-11,Cynthia Johnson,Admin,HR,Revold World,Martinez-James
847,127,4,Bug Fixing,9,2025-01-08,Sarah Cole,Admin,System Admin,SRMG,Conley and Sons
848,173,4,Testing,4,2025-01-19,Duane Smith,Design,UI Designer,SRMG,Conley and Sons
849,30,4,Performance Testing,1,2025-01-11,Dawn Henry,Admin,HR,SRMG,Conley and Sons
850,193,2,Security Patching,12,2025-03-23,Margaret Hernandez,Dev,Backend Developer,Revold World,Martinez-James
851,111,1,Security Patching,6,2025-01-30,Lisa Daniels,Dev,Backend Developer,Sopheon,"Griffith, Williams and Thornton"
852,173,2,Security Patching,8,2025-01-12,Duane Smith,Design,UI Designer,Revold World,Martinez-James
853,88,5,Feature Development,2,2025-02-17,Gabriel Mejia,Dev,Backend Developer,NBC,"Mcclure, Howard and Patterson"
854,131,3,Bug Fixing,9,2025-02-12,Juan Kelly,Design,UX Designer,Planted,Clark and Sons
855,14,5,Bug Fixing,2,2025-02-24,Holly Davidson,Admin,System Admin,NBC,"Mcclure, Howard and Patterson"
856,96,3,Performance Testing,11,2025-01-28,Amy Mccarthy,Management,Product Owner,Planted,Clark and Sons
857,190,4,Feature Development,5,2025-01-09,Ronald Peterson,Data,Data Engineer,SRMG,Conley and Sons
858,112,4,UI Enhancement,5,2025-03-15,Denise Butler,Admin,System Admin,SRMG,Conley and Sons
859,57,3,Code Review,3,2025-03-21,Eric Smith,Design,UI Designer,Planted,Clark and Sons
860,50,1,Database Optimization,9,2025-01-27,Michael Snow,Dev,Frontend Developer,Sopheon,"Griffith, Williams and Thornton"
861,171,5,Performance Testing,4,2025-03-27,Nicolas Alvarez,Dev,Backend Developer,NBC,"Mcclure, Howard and Patterson"
862,177,3,Security Patching,6,2025-02-17,Shawn Frazier,Management,Product Owner,Planted,Clark and Sons
863,161,4,Database Optimization,3,2025-03-24,Brent Wheeler,QA,Test Analyst,SRMG,Conley and Sons
864,135,2,Bug Fixing,5,2025-01-21,Joshua Beard,QA,QA Engineer,Revold World,Martinez-James
865,181,3,Bug Fixing,5,2025-03-16,Amanda Santana,Dev,Software Engineer,Planted,Clark and Sons
866,17,3,Database Optimization,7,2025-02-01,Ronnie Phillips,QA,Test Analyst,Planted,Clark and Sons
867,180,5,Security Patching,11,2025-03-10,Lynn Obrien,Design,Graphic Designer,NBC,"Mcclure, Howard and Patterson"
868,155,2,Feature Development,9,2025-01-05,Ryan Rogers,Design,Graphic Designer,Revold World,Martinez-James
869,76,5,Performance Testing,5,2025-02-10,Laura Scott,QA,QA Engineer,NBC,"Mcclure, Howard and Patterson"
870,103,4,Feature Development,1,2025-02-14,Patrick Carlson,QA,Test Analyst,SRMG,Conley and Sons
871,70,5,Security Patching,8,2025-01-24,David Burns,Management,Project Manager,NBC,"Mcclure, Howard and Patterson"
872,39,1,UI Enhancement,7,2025-01-15,Jeffrey Morgan,Management,Project Manager,Sopheon,"Griffith, Williams and Thornton"
873,92,4,Database Optimization,10,2025-01-02,Michael Morales,Design,UI Designer,SRMG,Conley and Sons
874,142,3,UI Enhancement,5,2025-01-18,Joshua Alexander,Data,Data Engineer,Planted,Clark and Sons
875,108,2,Bug Fixing,2,2025-01-12,Susan Joseph,Admin,Office Manager,Revold World,Martinez-James
876,65,4,Bug Fixing,11,2025-01-01,Jon Wise,Admin,System Admin,SRMG,Conley and Sons
877,4,5,Performance Testing,12,2025-03-14,Tracy Gonzalez,Management,Project Manager,NBC,"Mcclure, Howard and Patterson"
878,100,4,Security Patching,4,2025-01-22,Dennis Lopez,Data,Data Analyst,SRMG,Conley and Sons
879,177,1,Bug Fixing,7,2025-01-08,Shawn Frazier,Management,Product Owner,Sopheon,"Griffith, Williams and Thornton"
880,154,3,Feature Development,7,2025-03-07,Charles Warren,Dev,Frontend Developer,Planted,Clark and Sons
881,122,3,Feature Development,12,2025-02-06,David Downs,Data,ML Engineer,Planted,Clark and Sons
882,174,5,Bug Fixing,11,2025-01-28,Michael Perez,Dev,Software Engineer,NBC,"Mcclure, Howard and Patterson"
883,118,2,Database Optimization,10,2025-01-21,Charles Wong,QA,QA Engineer,Revold World,Martinez-James
884,3,2,Performance Testing,8,2025-01-21,Leslie Kemp,Dev,Frontend Developer,Revold World,Martinez-James
885,100,5,UI Enhancement,5,2025-01-15,Dennis Lopez,Data,Data Analyst,NBC,"Mcclure, Howard and Patterson"
886,31,3,UI Enhancement,4,2025-02-09,James Schroeder,Dev,Backend Developer,Planted,Clark and Sons
887,125,5,Code Review,4,2025-01-03,James Lynn,QA,QA Engineer,NBC,"Mcclure, Howard and Patterson"
888,37,3,Database Optimization,10,2025-01-02,Amanda Diaz,Data,Data Engineer,Planted,Clark and Sons
889,197,4,Bug Fixing,5,2025-02-08,Thomas Morris,Dev,Software Engineer,SRMG,Conley and Sons
890,162,4,Testing,5,2025-01-29,Mr. Ethan Doyle,Data,ML Engineer,SRMG,Conley and Sons
891,166,4,Feature Development,4,2025-03-28,Marissa Pope,Management,Project Manager,SRMG,Conley and Sons
892,65,4,Code Review,3,2025-01-26,Jon Wise,Admin,System Admin,SRMG,Conley and Sons
893,142,4,UI Enhancement,2,2025-03-27,Joshua Alexander,Data,Data Engineer,SRMG,Conley and Sons
894,180,2,Feature Development,10,2025-01-16,Lynn Obrien,Design,Graphic Designer,Revold World,Martinez-James
895,186,5,Meeting,12,2025-02-09,Jason Smith,Data,Data Engineer,NBC,"Mcclure, Howard and Patterson"
896,110,3,UI Enhancement,3,2025-02-13,Jeffrey Payne,Dev,Frontend Developer,Planted,Clark and Sons
897,109,1,Performance Testing,6,2025-01-10,Laura Ray,QA,Automation Engineer,Sopheon,"Griffith, Williams and Thornton"
898,194,4,UI Enhancement,11,2025-02-12,Christopher Robinson,Data,ML Engineer,SRMG,Conley and Sons
899,81,4,Code Review,5,2025-03-15,Kristen Fox,Dev,Frontend Developer,SRMG,Conley and Sons
900,19,1,Database Optimization,2,2025-03-22,Carla Clark,Data,Data Analyst,Sopheon,"Griffith, Williams and Thornton"
901,181,1,Security Patching,8,2025-01-15,Amanda Santana,Dev,Software Engineer,Sopheon,"Griffith, Williams and Thornton"
902,163,4,UI Enhancement,10,2025-03-14,William Johnston,Design,Graphic Designer,SRMG,Conley and Sons
903,118,5,UI Enhancement,9,2025-03-09,Charles Wong,QA,QA Engineer,NBC,"Mcclure, Howard and Patterson"
904,158,3,Security Patching,1,2025-02-24,Kristen Green,QA,Automation Engineer,Planted,Clark and Sons
905,108,3,Design Review,8,2025-02-14,Susan Joseph,Admin,Office Manager,Planted,Clark and Sons
906,36,5,Code Review,11,2025-03-05,Wesley Anderson,Design,UI Designer,NBC,"Mcclure, Howard and Patterson"
907,132,4,Meeting,2,2025-01-01,Daniel Jones,Dev,Frontend Developer,SRMG,Conley and Sons
908,104,1,Security Patching,12,2025-01-16,Timothy Murray,Admin,HR,Sopheon,"Griffith, Williams and Thornton"
909,109,4,Feature Development,3,2025-01-07,Laura Ray,QA,Automation Engineer,SRMG,Conley and Sons
910,69,2,Code Review,7,2025-02-07,Jeremiah Mclaughlin,Management,Project Manager,Revold World,Martinez-James
911,28,1,Security Patching,1,2025-03-17,Sherry Velazquez,Design,Graphic Designer,Sopheon,"Griffith, Williams and Thornton"
912,104,1,Feature Development,1,2025-02-03,Timothy Murray,Admin,HR,Sopheon,"Griffith, Williams and Thornton"
913,44,2,Testing,8,2025-01-05,Alyssa Ross,Dev,Software Engineer,Revold World,Martinez-James
914,39,5,Design Review,2,2025-02-01,Jeffrey Morgan,Management,Project Manager,NBC,"Mcclure, Howard and Patterson"
915,166,1,Meeting,6,2025-01-03,Marissa Pope,Management,Project Manager,Sopheon,"Griffith, Williams and Thornton"
916,21,3,Meeting,2,2025-03-11,Victor Gamble,Admin,Office Manager,Planted,Clark and Sons
917,79,3,Meeting,6,2025-03-12,Mark Taylor,QA,QA Engineer,Planted,Clark and Sons
918,26,2,Security Patching,6,2025-01-26,Megan Petersen,QA,Automation Engineer,Revold World,Martinez-James
919,51,4,UI Enhancement,4,2025-03-24,Joshua Drake,Data,Data Analyst,SRMG,Conley and Sons
920,97,3,Security Patching,7,2025-02-13,Chelsea Leblanc,Management,Scrum Master,Planted,Clark and Sons
921,60,2,Meeting,6,2025-01-23,Abigail Johnson,Design,UI Designer,Revold World,Martinez-James
922,78,1,Design Review,9,2025-03-15,Paul Stevenson,Dev,Backend Developer,Sopheon,"Griffith, Williams and Thornton"
923,154,1,Database Optimization,4,2025-02-08,Charles Warren,Dev,Frontend Developer,Sopheon,"Griffith, Williams and Thornton"
924,175,2,UI Enhancement,3,2025-01-22,Michael Gill,Management,Scrum Master,Revold World,Martinez-James
925,54,4,Performance Testing,1,2025-01-05,Jimmy Riley,QA,QA Engineer,SRMG,Conley and Sons
926,14,5,Code Review,10,2025-02-09,Holly Davidson,Admin,System Admin,NBC,"Mcclure, Howard and Patterson"
927,198,4,Performance Testing,6,2025-03-07,Rachel Dean,Admin,HR,SRMG,Conley and Sons
928,70,5,Testing,6,2025-03-06,David Burns,Management,Project Manager,NBC,"Mcclure, Howard and Patterson"
929,113,1,Meeting,6,2025-03-06,Natalie Garcia,Admin,Office Manager,Sopheon,"Griffith, Williams and Thornton"
930,181,2,Feature Development,9,2025-01-26,Amanda Santana,Dev,Software Engineer,Revold World,Martinez-James
931,103,4,Database Optimization,8,2025-01-27,Patrick Carlson,QA,Test Analyst,SRMG,Conley and Sons
932,79,5,Testing,4,2025-03-26,Mark Taylor,QA,QA Engineer,NBC,"Mcclure, Howard and Patterson"
933,67,5,Design Review,7,2025-01-11,Theresa Smith,Design,UI Designer,NBC,"Mcclure, Howard and Patterson"
934,131,2,Performance Testing,2,2025-01-19,Juan Kelly,Design,UX Designer,Revold World,Martinez-James
935,87,5,Design Review,9,2025-01-07,Andrew Hughes,Data,Data Analyst,NBC,"Mcclure, Howard and Patterson"
936,83,2,Performance Testing,2,2025-03-25,Patricia Beasley,Management,Project Manager,Revold World,Martinez-James
937,76,3,Performance Testing,4,2025-02-25,Laura Scott,QA,QA Engineer,Planted,Clark and Sons
938,199,2,UI Enhancement,5,2025-03-11,Matthew Green,QA,Automation Engineer,Revold World,Martinez-James
939,137,4,Testing,12,2025-03-16,Heather Banks,Dev,Software Engineer,SRMG,Conley and Sons
940,165,1,Performance Testing,9,2025-01-12,Tonya Kelly,Management,Project Manager,Sopheon,"Griffith, Williams and Thornton"
941,155,4,Code Review,1,2025-02-24,Ryan Rogers,Design,Graphic Designer,SRMG,Conley and Sons
942,89,2,Meeting,7,2025-03-06,Christopher Mcmahon,Design,Graphic Designer,Revold World,Martinez-James
943,127,5,Bug Fixing,5,2025-02-22,Sarah Cole,Admin,System Admin,NBC,"Mcclure, Howard and Patterson"
944,142,3,Code Review,4,2025-02-28,Joshua Alexander,Data,Data Engineer,Planted,Clark and Sons
945,190,1,Feature Development,12,2025-03-03,Ronald Peterson,Data,Data Engineer,Sopheon,"Griffith, Williams and Thornton"
946,121,1,Feature Development,10,2025-03-05,Alisha Mclean,Data,Data Engineer,Sopheon,"Griffith, Williams and Thornton"
947,6,1,Bug Fixing,6,2025-01-09,Toni Wallace,Data,Data Engineer,Sopheon,"Griffith, Williams and Thornton"
948,194,1,Database Optimization,8,2025-01-01,Christopher Robinson,Data,ML Engineer,Sopheon,"Griffith, Williams and Thornton"
949,113,1,Design Review,5,2025-01-12,Natalie Garcia,Admin,Office Manager,Sopheon,"Griffith, Williams and Thornton"
950,104,2,Testing,12,2025-03-27,Timothy Murray,Admin,HR,Revold World,Martinez-James
951,109,5,Feature Development,5,2025-02-26,Laura Ray,QA,Automation Engineer,NBC,"Mcclure, Howard and Patterson"
952,124,5,Feature Development,9,2025-02-22,Christina Cooper,Admin,Office Manager,NBC,"Mcclure, Howard and Patterson"
953,171,3,Security Patching,8,2025-01-01,Nicolas Alvarez,Dev,Backend Developer,Planted,Clark and Sons
954,184,1,Testing,4,2025-02-01,Sandra Williams,Admin,System Admin,Sopheon,"Griffith, Williams and Thornton"
955,123,3,Performance Testing,2,2025-01-08,Deborah Perez,QA,QA Engineer,Planted,Clark and Sons
956,196,4,Feature Development,4,2025-01-08,David Ryan,QA,Automation Engineer,SRMG,Conley and Sons
957,70,2,Testing,1,2025-02-27,David Burns,Management,Project Manager,Revold World,Martinez-James
958,93,3,Design Review,6,2025-01-07,Kristen Golden,Design,UI Designer,Planted,Clark and Sons
959,134,3,Design Review,9,2025-01-20,Joshua Allen,Design,UI Designer,Planted,Clark and Sons
960,140,1,Meeting,10,2025-03-22,Mary Graves,QA,Test Analyst,Sopheon,"Griffith, Williams and Thornton"
961,157,5,Security Patching,1,2025-01-18,Edwin Murray,Dev,Backend Developer,NBC,"Mcclure, Howard and Patterson"
962,42,2,Performance Testing,4,2025-01-14,Ashley Christian,Management,Product Owner,Revold World,Martinez-James
963,51,4,Performance Testing,3,2025-03-22,Joshua Drake,Data,Data Analyst,SRMG,Conley and Sons
964,32,5,Feature Development,4,2025-01-06,Kurt Miller,Dev,Frontend Developer,NBC,"Mcclure, Howard and Patterson"
965,171,4,Performance Testing,3,2025-03-04,Nicolas Alvarez,Dev,Backend Developer,SRMG,Conley and Sons
966,70,4,Performance Testing,8,2025-01-25,David Burns,Management,Project Manager,SRMG,Conley and Sons
967,187,5,Bug Fixing,4,2025-02-15,Michelle Wells,Dev,Backend Developer,NBC,"Mcclure, Howard and Patterson"
968,177,5,Meeting,6,2025-02-28,Shawn Frazier,Management,Product Owner,NBC,"Mcclure, Howard and Patterson"
969,165,1,Security Patching,10,2025-01-04,Tonya Kelly,Management,Project Manager,Sopheon,"Griffith, Williams and Thornton"
970,181,1,Design Review,3,2025-02-23,Amanda Santana,Dev,Software Engineer,Sopheon,"Griffith, Williams and Thornton"
971,182,5,UI Enhancement,1,2025-03-04,Nancy Parsons,Admin,HR,NBC,"Mcclure, Howard and Patterson"
972,97,5,Security Patching,4,2025-02-04,Chelsea Leblanc,Management,Scrum Master,NBC,"Mcclure, Howard and Patterson"
973,77,3,Performance Testing,4,2025-03-24,Miranda Chapman,Dev,Frontend Developer,Planted,Clark and Sons
974,116,1,Meeting,5,2025-02-11,Bruce Fowler,Admin,HR,Sopheon,"Griffith, Williams and Thornton"
975,58,4,Testing,11,2025-01-16,Monique Kennedy,Data,ML Engineer,SRMG,Conley and Sons
976,63,3,Meeting,10,2025-01-11,Jason Jones,Design,UI Designer,Planted,Clark and Sons
977,27,1,Testing,10,2025-01-28,Sara Young,Data,Data Engineer,Sopheon,"Griffith, Williams and Thornton"
978,25,4,Performance Testing,3,2025-01-03,Jose Huber,Admin,System Admin,SRMG,Conley and Sons
979,129,4,UI Enhancement,9,2025-03-16,Gregory Randall,Management,Project Manager,SRMG,Conley and Sons
980,3,2,Design Review,10,2025-03-06,Leslie Kemp,Dev,Frontend Developer,Revold World,Martinez-James
981,9,4,Testing,5,2025-01-23,Thomas Hartman,Management,Scrum Master,SRMG,Conley and Sons
982,57,3,Feature Development,12,2025-03-11,Eric Smith,Design,UI Designer,Planted,Clark and Sons
983,63,5,Database Optimization,11,2025-02-23,Jason Jones,Design,UI Designer,NBC,"Mcclure, Howard and Patterson"
984,4,2,Testing,6,2025-01-21,Tracy Gonzalez,Management,Project Manager,Revold World,Martinez-James
985,122,4,Bug Fixing,11,2025-02-19,David Downs,Data,ML Engineer,SRMG,Conley and Sons
986,23,1,Design Review,6,2025-02-26,Ashley Carter,Admin,Office Manager,Sopheon,"Griffith, Williams and Thornton"
987,13,1,Security Patching,12,2025-01-22,Pam Bright,Admin,Office Manager,Sopheon,"Griffith, Williams and Thornton"
988,51,3,Database Optimization,3,2025-03-14,Joshua Drake,Data,Data Analyst,Planted,Clark and Sons
989,180,1,Meeting,10,2025-03-14,Lynn Obrien,Design,Graphic Designer,Sopheon,"Griffith, Williams and Thornton"
990,89,3,Feature Development,4,2025-02-20,Christopher Mcmahon,Design,Graphic Designer,Planted,Clark and Sons
991,121,3,Feature Development,7,2025-03-10,Alisha Mclean,Data,Data Engineer,Planted,Clark and Sons
992,104,5,UI Enhancement,2,2025-01-16,Timothy Murray,Admin,HR,NBC,"Mcclure, Howard and Patterson"
993,137,4,Security Patching,10,2025-01-13,Heather Banks,Dev,Software Engineer,SRMG,Conley and Sons
994,103,4,Feature Development,7,2025-03-22,Patrick Carlson,QA,Test Analyst,SRMG,Conley and Sons
995,24,2,Security Patching,3,2025-01-08,Michael Garcia,Design,Graphic Designer,Revold World,Martinez-James
996,40,1,Meeting,11,2025-02-15,Virginia Sullivan,Data,Data Analyst,Sopheon,"Griffith, Williams and Thornton"
997,200,4,Feature Development,2,2025-01-19,Marie James,QA,QA Engineer,SRMG,Conley and Sons
998,114,2,Code Review,3,2025-01-21,Amber Hall,Management,Scrum Master,Revold World,Martinez-James
999,101,1,Testing,1,2025-03-22,Valerie Davis,Design,UX Designer,Sopheon,"Griffith, Williams and Thornton"
1000,27,5,Design Review,3,2025-01-01,Sara Young,Data,Data Engineer,NBC,"Mcclure, Howard and Patterson"
1001,98,3,Design Review,11,2025-02-10,Debra Garner,Data,ML Engineer,Planted,Clark and Sons
1002,30,1,Performance Testing,11,2025-02-23,Dawn Henry,Admin,HR,Sopheon,"Griffith, Williams and Thornton"
1003,24,3,Testing,7,2025-03-10,Michael Garcia,Design,Graphic Designer,Planted,Clark and Sons
1004,88,1,UI Enhancement,3,2025-01-27,Gabriel Mejia,Dev,Backend Developer,Sopheon,"Griffith, Williams and Thornton"
1005,103,2,UI Enhancement,12,2025-03-08,Patrick Carlson,QA,Test Analyst,Revold World,Martinez-James
1006,40,3,Security Patching,1,2025-03-14,Virginia Sullivan,Data,Data Analyst,Planted,Clark and Sons
1007,183,3,Testing,2,2025-02-02,Amy Nelson,QA,Test Analyst,Planted,Clark and Sons
1008,147,3,Testing,1,2025-02-20,Donna Myers,Admin,System Admin,Planted,Clark and Sons
1009,47,5,Security Patching,1,2025-01-21,Scott Woods,Design,Graphic Designer,NBC,"Mcclure, Howard and Patterson"
1010,46,2,Bug Fixing,10,2025-02-01,William Rivera,Admin,System Admin,Revold World,Martinez-James
1011,78,4,Meeting,6,2025-03-04,Paul Stevenson,Dev,Backend Developer,SRMG,Conley and Sons
1012,86,1,Performance Testing,2,2025-01-06,Phillip Wright,Management,Product Owner,Sopheon,"Griffith, Williams and Thornton"
1013,31,2,Performance Testing,7,2025-01-13,James Schroeder,Dev,Backend Developer,Revold World,Martinez-James
1014,118,5,Feature Development,7,2025-03-12,Charles Wong,QA,QA Engineer,NBC,"Mcclure, Howard and Patterson"
1015,71,1,Design Review,10,2025-03-23,Joshua Stafford,QA,Test Analyst,Sopheon,"Griffith, Williams and Thornton"
1016,100,2,Code Review,3,2025-03-14,Dennis Lopez,Data,Data Analyst,Revold World,Martinez-James
1017,101,1,UI Enhancement,6,2025-02-14,Valerie Davis,Design,UX Designer,Sopheon,"Griffith, Williams and Thornton"
1018,96,1,Bug Fixing,4,2025-02-05,Amy Mccarthy,Management,Product Owner,Sopheon,"Griffith, Williams and Thornton"
1019,143,2,Code Review,7,2025-03-02,Jordan Gomez,Data,Data Analyst,Revold World,Martinez-James
1020,26,1,UI Enhancement,11,2025-03-21,Megan Petersen,QA,Automation Engineer,Sopheon,"Griffith, Williams and Thornton"
1021,116,4,Database Optimization,12,2025-02-18,Bruce Fowler,Admin,HR,SRMG,Conley and Sons
1022,98,3,Database Optimization,5,2025-02-14,Debra Garner,Data,ML Engineer,Planted,Clark and Sons
1023,76,2,Testing,5,2025-03-25,Laura Scott,QA,QA Engineer,Revold World,Martinez-James
1024,50,1,Meeting,12,2025-01-31,Michael Snow,Dev,Frontend Developer,Sopheon,"Griffith, Williams and Thornton"
1025,186,1,Security Patching,9,2025-03-09,Jason Smith,Data,Data Engineer,Sopheon,"Griffith, Williams and Thornton"
1026,160,5,Meeting,1,2025-01-17,Carrie Gonzalez,QA,QA Engineer,NBC,"Mcclure, Howard and Patterson"
1027,152,5,Security Patching,8,2025-02-05,Jennifer Stevens,Admin,HR,NBC,"Mcclure, Howard and Patterson"
1028,51,3,UI Enhancement,9,2025-01-22,Joshua Drake,Data,Data Analyst,Planted,Clark and Sons
1029,139,1,Code Review,6,2025-03-20,Benjamin Torres,QA,Test Analyst,Sopheon,"Griffith, Williams and Thornton"
1030,19,2,Code Review,2,2025-02-15,Carla Clark,Data,Data Analyst,Revold World,Martinez-James
1031,50,1,Security Patching,5,2025-03-24,Michael Snow,Dev,Frontend Developer,Sopheon,"Griffith, Williams and Thornton"
1032,92,5,UI Enhancement,6,2025-02-23,Michael Morales,Design,UI Designer,NBC,"Mcclure, Howard and Patterson"
1033,173,2,Feature Development,8,2025-02-03,Duane Smith,Design,UI Designer,Revold World,Martinez-James
1034,164,3,Meeting,10,2025-03-14,Isabella Coleman,Management,Project Manager,Planted,Clark and Sons
1035,195,4,UI Enhancement,3,2025-03-19,Caroline Benton,QA,Automation Engineer,SRMG,Conley and Sons
1036,51,5,Code Review,10,2025-01-18,Joshua Drake,Data,Data Analyst,NBC,"Mcclure, Howard and Patterson"
1037,108,1,Feature Development,4,2025-02-27,Susan Joseph,Admin,Office Manager,Sopheon,"Griffith, Williams and Thornton"
